0THAI|ТАЙСЬКА
Increases the amount of time that rocks and snail pops can cause some creatures to be stunned for|Збільшує тривалість часу, на який лускіт Равликів або каміння можуть приголомшувати істот
Dynamic difficulty is influenced by number of regions visited more than number of cycles survived|На динамічну складність сильніше впливає кількість відвіданих регіонів, а не пережитих циклів.
Gives a chance of escaping from different grasps by rapidly wiggling with the movement buttons|Дає шанс вивернутися з різних захватів швидким перебиранням клавіш руху
Multiplies the total duration of the shortened rain timer by this amount in Rivulet's Campaign|Помножує загальну тривалість зменшеного зворотнього відліку дощу в кампанії Струмка цим числом
Prevents Jetfish from being able to knock items out of your hands|Позбавляє стриб можливості вибивати речі з рук
Changes the amount of cycles Hunter starts with in their campaign|Змінює кількість циклів, з якими починає кампанію Мисливець
You're stuck in a cycle, a repeating pattern. You want a way out.|Ти застрягла у циклі, у повторюваній послідовності. Ти хочеш визволитися.
Another pearl! You want me to read this one too? Just a moment...|Ще одна перлина? Хочеш, щоби я й цю прочитала? Хвилинку...
A pearl... This one is crystal clear - it was used just recently.|Перлина... Ця кришталево чиста — нею зовсім нещодавно користувалися.
Gives a small chance of being able to survive a direct attack from a dropwig|Надає невеликий шанс пережити прямий напад падовійки
Use the throw button to activate tongue controls rather than the jump button|Використовує клавішу КИДАТИ, щоб керувати язиком, а не клавішу СТРИБАТИ
Passages bring all key items in a shelter with you to the new destination, rather than just the stomach item|При Переході з вами до нового місця призначення переносяться всі ключові предмети, а не лише той, що в шлунку.
It's a piece of sharpened rebar... What is it you want to know?<LINE>You seem proficient enough at using it.|Це шмат загостреної арматури... Що ти хочеш про нього дізнатися?<LINE>Схоже, ти вже досить вправно ним орудуєш.
Key items are tracked on the map and will respawn on subsequent cycles if they are lost, at the location they were lost|Ключові предмети відстежуються на мапі й з'являтимуться на наступних циклах у випадку втрати там, де були втрачені.
Centipedes will release you if you go through a pipe while you are grabbed by one|Багатоніжки відпускатимуть вас при проходженні крізь труби, якщо вони вас вхопили.
Prevents the chance of the region being flooded during a shelter failure scenario|Прибирає шанси на те, що регіон перебування буде затоплений у випадку збою притулків
Makes the death gradients on bottomless pits more visible|Робить смертельні градієнти бездонних прірв більш помітними
Allow throwing spears directionally while in zero gravity|Дозволяє напрямлено жбурляти списи, коли в невагомості
This option disables multiple core mechanics of the game.|Ця опція вимикає чимало ключових механік гри.
It is strange... I'm remembering myself, but also... him.|Дивно... Я згадую себе, але також... і його.
Allow passing any gate for free, regardless of your current karma level|Дозволяє проходити крізь брами задарма, незалежно від вашого рівня карми.
Hide the remaining cycle time while in maps that are safe from the rain|Приховує час, що залишається до дощу, у місцинах, де дощ не становить загрози
And this one is fresh! It was not long ago this data was written to it!|А оця свіжа! Не так давно на ній записали ці дані!
Vulture Grubs have a chance to summon stronger vulture types in arena mode if those types are unlocked|Личинки Стерв'ятників мають шанс викликати сильніші різновиди стерв'ятників, якщо ті різновиди розблоковані.
If enabled, all scavenger corpses in Artificer's campaign always have the maximum possible karma value|Якщо ввімкнено, всі трупи сміттярів у кампанії Техніка завжди матимуть максимально можливий рівень карми.
Allows certain passages to gain progress even before the Survivor passage has been achieved|Дозволяє отримати прогрес на певні переходи навіть до отримання переходу Вцілілого
Reduces the volume for the sound effects of gates and shelters opening|Зменшує гучність звукових ефектів відчинення брам і притулків
Let us try again - not that it has worked well before. I was saying...|Спробуймо знову, хоча й не те, щоб це працювало раніше. Я казала...
If you are having trouble, you may want to try The Monk campaign first. It may help you get a better feel for the game and ease you into Rain World.|Якщо вам складно, можливо, варто спочатку спробувати кампанію Ченця. Вона може допомогти вам зрозуміти гру і легше влитися в Rain World.
If enabled, scavenger corpses in Artificer's campaign don't lose karma after each cycle|Якщо ввімкнено, трупи сміттярів у кампанії Техніка не втрачатимусь карму щоциклу.
(Normally requires delivering pearls and finding broadcast tokens in the campaign maps)|(Зазвичай потребує здобування перлин та знаходження токенів передач у мапах кампаній)
Know that this does not make you special - every living thing shares that same frustration.<LINE>From the microbes in the processing strata to me, who am, if you excuse me, godlike in comparison.|Знай, ти не особливий — все живе поділяє той самий відчай. Від мікробів<LINE>у обчислювальних пластах і до мене, який є, даруй, богоподібним у порівнянні.
Look at me. The only thing I have to offer is my words.<LINE>If you come here, I must assume you want me to speak? So then would you PLEASE listen?<LINE>If not, you are welcome to leave me alone.|Поглянь на мене. Єдине, що я можу тобі запропонувати — мої слова.<LINE>Якщо ти приходиш сюди, то, гадаю, ти хочеш їх почути? Тоді можеш<LINE>БУДЬ ЛАСКА послухати? В іншому разі, можеш залишити мене в спокої.
The bad news is that no definitive solution has been found. And every moment the equipment erodes to a new state of decay.<LINE>I can't help you collectively, or individually. I can't even help myself.|Погана новина в тому, що остаточного рішення досі не знайдено, і щомиті обладнання для його пошуку досягає дедалі більшого занепаду.<LINE>Я не можу допомогти вам ні разом, ні поодинці. Я навіть собі допомогти не можу.
At the end of time none of this will matter I suppose, but it would be nice if you took another way out.<LINE>One free of... frolicking in my memory arrays. There is a perfectly good access shaft right here.|Мабуть, врешті-решт нічого з цього і не матиме значення, але було б непогано, якби ти скористався<LINE>іншим виходом. Тим, що не передбачав би твоїх... пустощів у моєму Відсіку Пам'яті. Ось тут є чудова шахта доступу.
For you though, there is another way. The old path. Go to the west past the Farm Arrays, and then down into the earth<LINE>where the land fissures, as deep as you can reach, where the ancients built their temples and danced their silly rituals.<LINE>The mark I gave you will let you through.|Однак, у тебе є інший засіб. Старий шлях. Рушай на захід, повз Фермерські Масиви, а потім донизу, туди,<LINE>де розколюється земля, якомога глибше, де стародавні зводили свої храми й святкували свої кумедні ритуали.<LINE>З наданим мною знаком тебе пропустять.
The good news first. In a way, I am what you are searching for. Me and my kind have as our<LINE>purpose to solve that very oscillating claustrophobia in the chests of you and countless others.<LINE>A strange charity - you the unknowing recipient, I the reluctant gift. The noble benefactors?<LINE>Gone.|Почну з хороших новин. У певному сенсі я те, чого ти шукав. Покликання мене, та мого роду —<LINE>подолати той мінливий жах, що оволодів тобою, як і безліччю інших. Дивна благодійність:<LINE>ти — несвідомий одержувач, а я — неохочий подарунок. Шляхетні благодійники?<LINE>Зникли.
You must be very brave to have made it all the way here. But I'm sorry to say your journey here is in vain.|Певно, ти дуже сміливий, якщо зміг сюди дістатися. Але мені шкода казати, що твоя подорож — марна.
It is good to have someone to talk to after all this time!<LINE>The scavengers aren't exactly good listeners. They do bring me things though, occasionally...|Приємно мати з ким побалакати через стільки часу!<LINE>Сміттярі не такі вже й добрі слухачі. Проте іноді вони приносять мені деякі дрібнички...
I'm still angry at you, but it is good to have someone to talk to after all this time.<LINE>The scavengers aren't exactly good listeners. They do bring me things though, occasionally...|Я все ще зла на тебе, але приємно мати з ким побалакати після всього цього часу!<LINE>Сміттярі не такі вже й добрі слухачі. Проте іноді вони приносять мені деякі дрібнички...
Even the scavengers that come here from time to time leave with nothing. But... I have told you that already, haven't I?|Навіть сміттярі, що іноді навідуються сюди, йдуть ні з чим. Але... я тобі вже це казала, хіба ні?
I have had scavengers come by before. Scavengers!<LINE>And they left me alive!<LINE>But... I have told you that already, haven't I?|Раніше до мене навідувалися сміттярі. Сміттярі!<LINE>І вони залишили мене живою! Але... я тобі вже це казала, хіба ні?
You must excuse me if I repeat myself. My memory is bad.<LINE>I used to have a pathetic five neurons... And then you ate one.<LINE>Maybe I've told you that before as well.|Прошу вибачення, якщо я повторююся. Моя пам'ять погана.<LINE>В мене було всього п'ять жалюгідних нейронів... А потім одного ти зжер.<LINE>Можливо, я й це вже тобі казала.
Or actually I'm sure he would, but he has so many of these~<LINE>it doesn't do him any difference.<LINE>For me though, it does! Thank you, little creature!|Хоча, насправді я впевнена, що йому було б не все одно — але в нього їх стільки~<LINE>для нього це справді не має значення.<LINE>А для мене — має, і ще як! Дякую тобі, маленька істото!
You come here, but you can't be respectful enough to listen to me.<LINE>Will you listen this time?|Ти приходиш сюди, але не можеш виявити мені повагу, дослухавши до кінця.<LINE>Чи дослухаєш ти цього разу?
